"No.","Ticker","Market Cap","Dividend Yield","Return on Assets","Return on Equity","Return on Invested Capital","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date","Price","Change","Volume"
1,"STRC",46666.59,6.11%,,,,,,,,,,,,100.02,0.01%,2643670
2,"DHIL",466.78,3.40%,19.29%,28.79%,26.79%,1.83,1.83,0.03,0.04,96.76%,38.44%,30.89%,2/26/2026 4:30:00 PM,172.54,0.27%,54655
3,"VALU",343.57,3.55%,14.76%,21.02%,19.85%,3.99,3.99,0.02,0.03,40.47%,15.65%,61.58%,,36.59,0.72%,1182
4,"LARK",159.15,3.09%,1.18%,12.65%,9.74%,0.07,,0.20,0.21,,24.09%,19.62%,1/28/2026 4:30:00 PM,26.20,-3.21%,8420
5,"BRBI",,5.39%,,,,,,,,,,,,14.07,0.21%,524
6,"LOAN",48.73,10.80%,8.10%,12.23%,9.05%,1.20,1.20,0.35,0.35,99.89%,79.38%,58.68%,10/24/2025 4:30:00 PM,4.26,-2.29%,25093
7,"SNY",107591.37,5.67%,3.87%,6.76%,5.71%,1.09,0.73,0.22,0.28,65.90%,26.10%,11.81%,1/29/2026 8:30:00 AM,44.55,-1.00%,6144538
8,"AUBN",86.44,4.37%,0.73%,8.52%,8.10%,0.22,,0.00,0.00,,22.35%,17.60%,,24.74,-0.84%,557
9,"NFBK",557.13,3.90%,0.01%,0.11%,0.07%,0.05,,0.62,1.44,,21.82%,0.30%,2/2/2026 8:30:00 AM,13.34,-0.22%,335389
10,"CBFV",171.83,3.17%,0.32%,3.22%,2.55%,0.04,,0.22,0.22,,7.67%,7.15%,1/27/2026 4:30:00 PM,34.29,-0.90%,8705
11,"CME",113720.14,3.62%,2.41%,14.65%,12.40%,1.03,1.03,0.13,0.13,82.58%,64.86%,61.67%,2/4/2026 8:30:00 AM,317.10,0.09%,1838783
12,"LNT",18398.43,3.01%,3.29%,11.30%,4.38%,0.80,0.66,1.52,1.68,26.24%,23.49%,18.57%,2/19/2026 4:30:00 PM,71.55,0.29%,2213133
13,"PROV",103.09,3.46%,0.53%,5.15%,3.16%,0.13,,0.64,1.69,,16.20%,10.97%,1/27/2026 8:30:00 AM,16.17,0.31%,4790
14,"PEP",217884.85,3.68%,7.97%,42.86%,12.51%,0.85,0.67,2.23,2.60,54.36%,15.50%,8.77%,2/3/2026 8:30:00 AM,159.43,-0.79%,5823298
15,"SGA",73.16,8.70%,0.14%,0.18%,0.18%,2.74,2.74,0.06,0.06,11.22%,-0.48%,0.27%,3/12/2026 8:30:00 AM,11.49,0.52%,4252
16,"PAGP",18131.76,7.24%,0.39%,8.61%,2.12%,0.96,0.92,8.10,8.54,4.40%,3.61%,0.58%,2/6/2026 8:30:00 AM,23.80,0.42%,2513264
17,"REG",14387.43,3.83%,4.15%,7.74%,4.33%,0.64,0.64,0.72,0.77,44.62%,37.51%,33.03%,2/5/2026 4:30:00 PM,78.66,-0.82%,957348
18,"VOD",33589.93,3.90%,-2.96%,-7.08%,-4.03%,1.16,1.13,0.84,0.97,32.85%,11.67%,-10.71%,11/11/2025 8:30:00 AM,14.51,-0.75%,3690906
19,"GLPI",13852.38,6.49%,6.35%,18.54%,6.81%,1.74,1.74,1.62,1.62,80.39%,75.33%,51.69%,2/19/2026 4:30:00 PM,48.91,-0.91%,1819621
20,"BPRN",228.04,3.86%,0.80%,6.99%,6.55%,0.13,,0.06,0.08,,17.03%,13.38%,1/29/2026 4:30:00 PM,33.72,-0.68%,15857
21,"REYN",4774.80,4.15%,6.06%,13.70%,7.69%,1.93,0.92,0.74,0.75,24.56%,13.25%,8.09%,2/4/2026 8:30:00 AM,22.70,-1.22%,941558
22,"SBRA",5148.82,5.97%,2.88%,5.59%,2.90%,0.64,0.64,0.90,0.91,40.80%,34.34%,20.11%,2/12/2026 4:30:00 PM,20.42,2.00%,2003388
