Run,FinalNAV_M,Return,Sharpe,Sortino,MaxDD,Premium_M,Assigns,Trades
1,259.45,-56.76,-0.886,-1.22,78.03,-611.37,1,1485
2,-6.53,-101.09,-1.741,-1.44,101.09,-496.12,1,1603
3,-99.05,-116.51,-1.825,-1.469,116.52,-539.36,1,1553
4,78.28,-86.95,-2.641,-3.21,88.72,-454.82,2,1439
5,55.7,-90.72,-3.193,-3.811,91.15,-476.02,0,1254
6,27.14,-95.48,-1.001,-1.129,99.34,-576.94,2,1577
7,-163.09,-127.18,-2.813,-2.576,127.21,-758.03,1,1958
8,-47.2,-107.87,-1.094,-0.938,107.87,-566.09,0,1770
9,-610.0,-201.67,-1.897,-1.584,190.58,-1019.43,0,2006
10,3.02,-99.5,-3.041,-2.866,99.5,-455.75,0,1495
11,74.56,-87.57,-3.699,-5.259,87.56,-430.14,3,1469
12,26.95,-95.51,-4.698,-5.578,95.57,-420.05,0,1449
13,73.99,-87.67,-2.672,-3.787,88.65,-463.68,0,1512
14,107.72,-82.05,-3.205,-4.366,83.8,-444.86,0,1432
15,15.78,-97.37,-4.519,-4.799,97.37,-407.78,0,1461
16,14.1,-97.65,0.854,1.383,103.64,-591.39,0,1535
17,-41.75,-106.96,-2.781,-2.328,107.19,-473.45,1,1581
18,-245.62,-140.94,-0.057,-0.143,144.07,-818.36,2,1858
19,166.23,-72.3,-2.546,-3.689,80.13,-442.34,0,1329
20,18.27,-96.95,-1.659,-1.719,96.98,-633.08,1,1525
